Designator,Mid X,Mid Y,Rotation,Layer
C1,60.57,-52.925,180.0,top
C10,57.38,-63.795,270.0,top
C11,56.6,-63.85,270.0,top
C12,63.01,-56.727501,90.0,bottom
C13,57.07,-57.52,180.0,bottom
C14,61.98,-64.065,270.0,top
C15,58.05,-51.86,0.0,top
C16,66.44,-63.835,270.0,top
C17,58.12,-58.79,90.0,bottom
C18,53.34,-51.08,0.0,bottom
C19,53.33,-52.9,0.0,bottom
C2,67.15,-57.495,0.0,top
C20,53.33,-54.72,0.0,bottom
C21,53.33,-56.55,0.0,bottom
C24,66.955,-58.24,180.0,bottom
C25,66.975,-63.71,180.0,bottom
C26,53.34,-58.39,0.0,bottom
C27,63.73,-51.02,0.0,top
C28,57.69,-51.01,0.0,top
C29,60.66,-51.01,0.0,top
C3,57.9,-63.795,270.0,top
C30,55.425,-54.49,0.0,top
C31,67.0,-56.115,0.0,top
C32,53.34,-60.21,0.0,bottom
C33,53.345,-62.03,0.0,bottom
C34,53.345,-63.86,0.0,bottom
C35,66.95,-56.4,180.0,bottom
C36,66.95,-54.55,180.0,bottom
C37,66.94,-52.76,180.0,bottom
C4,62.2,-52.915,180.0,top
C5,63.82,-52.925,180.0,top
C6,66.97,-61.87,180.0,bottom
C7,55.12,-60.55,180.0,top
C8,66.965,-60.06,180.0,bottom
C9,53.49,-67.025,180.0,top
D1,52.53,-63.84,90.0,top
D2,59.0875,-64.14,0.0,top
D3,68.04,-51.56,270.0,top
FB1,67.0,-56.885,180.0,top
L1,54.6,-63.5,90.0,top
Q1,57.54,-48.77,180.0,top
Q2,57.54,-47.43,0.0,bottom
Q3,60.66,-48.78,180.0,top
Q4,60.67,-47.44,0.0,bottom
Q5,63.8,-48.77,180.0,top
Q6,63.8,-47.43,0.0,bottom
R1,60.81,-50.41,90.0,bottom
R10,60.92,-64.045,270.0,top
R11,56.75,-52.49,270.0,top
R12,58.05,-52.67,180.0,top
R13,65.81,-63.85,270.0,top
R15,55.425,-53.38,0.0,top
R16,60.37,-64.035,270.0,top
R17,53.44,-60.97,0.0,top
R18,58.8675,-63.425,0.0,top
R19,63.86,-50.39,90.0,bottom
R2,59.77,-52.575,90.0,top
R21,57.84,-50.38,90.0,bottom
R22,62.54,-63.83,90.0,top
R23,64.94,-63.825,90.0,top
R24,64.32,-63.83,270.0,top
R25,63.73,-63.83,270.0,top
R26,63.15,-63.83,270.0,top
R27,66.75,-58.22,0.0,top
R28,66.75,-59.245,0.0,top
R29,66.75,-58.735,0.0,top
R3,56.41,-49.88,90.0,bottom
R30,66.75,-59.805,180.0,top
R31,67.68,-59.465,90.0,top
R32,66.75,-60.565,0.0,top
R33,66.76,-61.075,0.0,top
R34,67.67,-60.735,270.0,top
R35,66.76,-61.625,0.0,top
R36,66.76,-62.185,0.0,top
R37,55.42,-53.97,180.0,top
R4,61.4,-52.575,90.0,top
R5,59.27,-49.8,90.0,bottom
R6,63.0,-57.937501,90.0,bottom
R7,63.01,-52.555,90.0,top
R8,62.31,-49.71,90.0,bottom
R9,61.45,-64.045,90.0,top
U1,61.08,-58.175,90.0,top
U2,60.71,-58.05,180.0,bottom
U3,57.42,-55.21,90.0,bottom
U4,57.06,-58.63,180.0,bottom
U5,53.31,-51.54,270.0,top
U6,53.31,-57.76,270.0,top
U7,60.83,-58.47,0.0,top
